,rpm,obdSpeed,mapIntake,intakeTemp,coolantTemp,MAFairFlowRate
2023-02-24 10:52:18,1620.14,42.10333333333333,113.82333333333334,34.733333333333334,86.81,2037.7966666666664
2023-02-25 11:18:06,1532.0266666666666,33.223333333333336,108.76,36.623333333333335,88.77,1792.0466666666666
2023-02-26 10:38:46,1490.7166666666667,31.606666666666666,106.45,35.91,84.99666666666667,1673.69
2023-02-26 13:24:14,1497.5,37.93333333333333,108.58666666666667,33.14666666666667,85.08,1783.2666666666669
2023-02-27 11:03:32,1541.1266666666668,42.306666666666665,110.19333333333331,30.75,80.51,1877.483333333333
2023-02-28 10:33:04,1518.9833333333331,39.43666666666667,108.32333333333334,29.53333333333333,80.79333333333334,1775.753333333333
2023-03-01 09:59:49,1457.1466666666668,34.25666666666667,105.02666666666669,29.96,78.2,1602.8633333333332
2023-03-02 07:52:48,1407.41,29.316666666666663,104.07666666666668,32.49666666666667,83.64666666666666,1507.8933333333334
2023-03-02 09:27:12,1412.9366666666667,31.356666666666666,105.41,35.31333333333333,88.15666666666667,1579.5566666666666
2023-03-02 22:49:34,1458.0533333333333,31.593333333333334,108.79333333333334,35.49,88.73666666666666,1734.34
2023-03-04 10:45:45,1482.0666666666666,33.07,108.88,34.723333333333336,83.98333333333333,1810.8666666666663
2023-03-04 23:29:24,1510.9566666666667,33.39,111.32333333333334,35.526666666666664,79.97333333333333,1931.2966666666664
2023-03-04 23:51:37,1636.763333333333,53.56333333333333,117.38666666666668,37.95666666666666,82.76333333333334,2306.443333333333
2023-03-05 11:06:17,1625.04,57.32333333333333,120.11666666666666,41.693333333333335,87.34,2359.2966666666666
2023-03-05 14:34:27,1588.21,59.38666666666666,116.62,39.41666666666666,86.52333333333333,2207.863333333333
2023-03-06 02:58:47,1464.02,41.56666666666667,108.53,39.21,84.47,1785.2933333333333
2023-03-06 10:22:15,1448.1933333333334,37.443333333333335,105.65666666666668,38.52333333333333,85.72,1692.8966666666668
2023-03-06 22:15:32,1465.986666666667,35.63,107.04,39.586666666666666,87.56333333333333,1747.1766666666667
2023-03-07 09:19:00,1394.3133333333333,29.53333333333333,105.25,40.36,84.43,1615.9033333333334
2023-03-07 11:08:58,1400.0633333333333,28.286666666666665,105.07,42.09333333333333,84.82333333333334,1605.0733333333333
2023-03-07 22:26:25,1388.07,28.096666666666668,105.39333333333332,42.556666666666665,84.80333333333333,1603.7833333333333
2023-03-08 00:24:37,1429.743333333333,30.07333333333333,106.40333333333334,43.61666666666667,89.85333333333334,1649.3666666666666
